startDate,endDate,progress,duration,finished,S1_1,S2_1,S3_1,S4_1,S5_1,S6_1,S7_1,S8_1,S9_1,S10_1,S11_1,S12_1,S13_1,S14_1,S15_1,S16_1,S17_1,S18_1,demo,age,gender,ethnicity,ethnicity_text,education,SES
2021-11-22 12:10:39,2021-11-22 12:22:16,100,697,TRUE,Take out a credit card,Call a tow truck and get the car towed to a mechanic and Uber to the airport,Recount the money and schedule time to talk to the owner the next day,Wait for him to show up and ask for a one time pass,Let the teacher know what happened and tell her my mom will corroborate the story,Stay put and ty to stay warm waiting for the rescue team,Try to find a scalper close by and go to the concert with or without him,Ignore and stay out of it,Get the license plate number and call the cops,Decline. I don't give rides to strangers,Call the police and report it,Tell TSA when I get up to them,Tell someone at the wedding in order to not make a scene and then excuse myself to start calling the cab company,Move him in with me anyway,Start rationing food and make a plan,Leave whatever water you have and go try to find help,Wait as long as possible and close down the store if he hasn't shown up,Stop and try to help,,35,Female,White / Caucasian,,College Graduate (4 year),Rung 5
2021-11-22 12:14:19,2021-11-22 12:26:00,100,700,TRUE,Take another shift for work in order to make more money ,Call a friend for help,I would take a look at the surveillance cameras.,Go home and wait until the next day to apologize to my friend.,Request to phone my mother to drop off the assignment to school.,Find shelter and stay put for as long as possible ,Give him my ticket.,Ask them who they are and what they are doing.,Call Highway Patrol and provide them with the license plate in order to locate the driver. ,"Call her a taxi, since this is a stranger.",Search for the owner of the car before taking more extreme measures. ,Notify airport security that I did this by mistake and hand over the weapon.,Call the taxi company immediately to narrow down the best wat to reach the driver.,Find a way to move him in ,Set up a daily routine and plan for food rationing.,Find the closest place with signal to get help.,Call a colleague for help and leave a note for my boss. ,"Stop immediately and check for a pulse. If there was no immediate help nearby, I would carry the individual personally to safety.",,31,Male,Hispanic / Latino,,College Graduate (4 year),Rung 6
2021-11-22 11:33:16,2021-11-22 12:27:15,100,3239,TRUE,I would sell my car,I will call a friend ,I would fill it with my own money,I would borrow a phone,I will call my Mum and ask her to send it over,I would call the other crew,Pay for another ticket,I would call out to one of the members and tell them to confirm whether that is one of them,Slow down,I would help her,I would look for its owner,I would explain it to the security and offer to leave behind,Call the taxi deriver,I would take him to my place still,I would think of how to catch fish,I would run down and look for help.,I will call a colleague,I would call the ambulance,,34,Male,,,College Graduate (4 year),Rung 6
2021-11-22 12:28:31,2021-11-22 12:34:16,100,345,TRUE,Ask to borrow the money,call a tow truck and reschedule my flight,recount the money and call the manager,buy another membership since you like going ,let the teacher know and call your mom to bring it up to school,call 911,Let him go get it and I stay there,alert the party,call 911,"Hell no, I would not give her a ride",call 911,let them know,Shit my pants,ask family for help,ration the food,Cover him and go for help,Call coworkers to come in,stop to render aid,,49,Female,White / Caucasian,,Master's Degree (MS),Rung 4
2021-11-22 12:24:32,2021-11-22 12:35:25,100,653,TRUE,Look into options like rx savings or different insurance,Have the car towed to a repair shop and call an Uber to the airport.,I would replace the money until I was able to discuss this with my manager,Wait for my friend to get to the gym and explain the situation,Try to call my mom.  Explain to the teacher what happened.,Try to search for food/water and get to a point where the rescue crew could find us quickly,See if there were any tickets available and buy him one but have him reimburse me,Continue to watch the teenager and alert the family after they return,Honk and put my bright lights on to warn the driver.,I would take her to her destination,Call the fire department or police.  Go to the customer service booth in the mall to report it.  Try to look for the owner and wait until the owner returned.,Take the knife out of the bag and throw it away.  I can buy a new one in Chicago.,Panic but immediately call the taxi service to have them see if it was still there,Move in with him and help take care of him,"I would instruct the crew of the situation, but try to keep the passengers from being too alarmed.  I would ration the dwindling supplies as best as possible.",Try to get some water.  Try to make it to somewhere that has service.,"Call his boss, as as well as other employees to see if someone can rush to cover his shift",Get out and help my competitor.,,38,Female,White / Caucasian,,College Graduate (4 year),Rung 4
2021-11-22 12:51:20,2021-11-22 12:59:44,100,504,TRUE,Lobby your insurance to get it covered. Raise a stink on social media and raise the funds via GoFundMe while shaming the insurance company publicly.,"Skip the trip, miss your flight. Hunting safaris are gross.","Put my own money in, $50.75, to balance it and then pay attention at work to see who is skimming from the register.","Buy a new membership, meet my friend.","Tell the teacher the truth and ask if your mom can bring it in, the assignment.",Use everything you have to try to signal your location for the inevitable search parties.,"Skip the concert, go out to eat with Ted.",Go to the family and discreetly ask if the teen is part of the family.,Call 911.,Offer to pay for an Uber for the woman.,"Break the car window immediately, to save the dog. Call 911.",Confess the truth before it is discouraged and causes panic.,Announce the truth. Ask the audience for a stand-in ring.,Move my father in with me and tough it out until I can get a bigger place.,"Ration the food supplies, have an assembly where you calmly tell the passengers the truth and ask for help from them, according to their professional knowledge.",Cover Todd with your shirt to shield him from the sun. Go for help.,Close the store down and lock it. It's not my responsibility to stay.,Stop immediately to help. Someone's life is more important than any prize.,,34,Female,White / Caucasian,,College Graduate (4 year),Rung 7
2021-11-22 12:37:03,2021-11-22 13:03:49,100,1605,TRUE,"Contact the manufacturer to see if it can be donated, post a gofundme, go to the local health clinic to see if it is available through them.",Call AAA or a tow truck and a taxi.,Go through the receipts again and leave a shortage message if necessary.,Wait outside for him to show up or ask someone to use their phone.,Let the teacher know to see if it can be turned in late otherwise call mom!,Look for nearest shelter and leave an obvious trail.,Tell Ted I will video the concert and he should really hurry to get his ticket.,Do nothing unless the family says something is wrong and give them a description of the person.,Drive slow behind him and call the police.,Take her to where she needs to go.,Call animal control and alert the mall security.,Let security know I brought it and let them dispose of it.,Let everyone know I do not have the ring and find a temporary substitute.,Use his pension and combine it my income to afford a somewhat larger dwelling.,Let the passengers know the situation and advise of a food rationing.,"Keep trying and see if I can find some cover for shade.  Hopefully, I have left emergency contact information with someone.","Call my attorney and see if it can be delayed otherwise, close the store and go.",Stop and assist the person.,,42,Female,White / Caucasian,,College Graduate (4 year),Rung 7
2021-11-22 12:51:47,2021-11-22 13:04:44,100,777,TRUE,"Call the pharmaceutical company, the hospital, charities, etc. until aid is found.","Call for a tow truck, while waiting for the tow call shops to find one that can accept the tow without you there. Call a taxi/Uber for yourself to the airport.",double count the drawer and safe,"Ask the gym desk if your friend is already there or not, if so ask to send a message to them if not then wait by the door to catch them. Or, pay for the membership on the spot. ",Ask to call your mom for an emergency.,review maps and decipher the correct location,"Ted has to go get his ticket, or call home to see if someone can bring it.","Yell ""Hey, look at THAT!"" loudly enough that both the teenager and the family look up.",call 911,"Sorry, no rides. ",Call mall security,talk to security about how to ship my knife so I can keep working,Call the taxi ,"Move in with father, if no other siblings can.",Have a meeting and implement rationing. See if we have fishing equipment. Prepare to gather rain water if possible.,"Shield Todd and myself from the sun. Drink fluids (we had enough for the day, right?), secure Todd and try to get back to where I had cell service.","If I have keys, lock the door and put up a sign, and go to court. Also, call the boss' emergency contacts and other employees to try to find coverage fast.","Render aid, call for help.",,52,Female,White / Caucasian,,Some College,Rung 2
2021-11-22 11:10:26,2021-11-22 11:10:54,2,27,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-22 11:11:52,2021-11-22 11:13:47,13,114,FALSE,"I would borrow the money and repay it, ",,I would pay the money and find out where the missing money was. ,,,,,,,,,,,,,,,,,,,,,,
2021-11-22 11:07:57,2021-11-22 11:13:56,27,359,FALSE,,,,"I would try and renew my membership right then and there.  If this was not possible, I would ask the gym employee to let my friend know what happened, while I go to retrieve my phone from work. ",I would explain to the teacher what happened and call my mom to see if she can bring me the assignment at the school.,,,I would go to the water and ask the family if they know the teenager that is going through their belongings.,I would try and get the license plate number and I would safely pull over to the shoulder of the road and call 911 to report it.,,I would call 911 and also would try and safely gain access to the vehicle to help the dog.,,,,,,,,,,,,,,
2021-11-22 11:17:01,2021-11-22 11:17:57,4,56,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,
